iter	Passed	Remaining
750	3040	1008
751	3044	1004
752	3048	1000
753	3052	995
754	3056	991
755	3059	987
756	3063	983
757	3067	979
758	3070	974
759	3074	970
760	3078	966
761	3083	962
762	3087	959
763	3091	954
764	3095	950
765	3099	946
766	3102	942
767	3106	938
768	3110	934
769	3115	930
770	3118	926
771	3122	922
772	3126	918
773	3129	913
774	3134	909
775	3137	905
776	3141	901
777	3145	897
778	3149	893
779	3152	889
780	3156	885
781	3160	881
782	3164	877
783	3168	873
784	3172	869
785	3176	864
786	3180	860
787	3184	856
788	3188	852
789	3191	848
790	3195	844
791	3199	840
792	3203	836
793	3206	831
794	3210	827
795	3213	823
796	3217	819
797	3221	815
798	3225	811
799	3229	807
800	3233	803
801	3237	799
802	3240	795
803	3244	790
804	3248	786
805	3252	782
806	3257	778
807	3261	774
808	3264	770
809	3268	766
810	3272	762
811	3275	758
812	3279	754
813	3283	750
814	3287	746
815	3291	742
816	3294	737
817	3298	733
818	3302	729
819	3306	725
820	3309	721
821	3314	717
822	3318	713
823	3322	709
824	3325	705
825	3329	701
826	3333	697
827	3336	693
828	3340	689
829	3344	684
830	3347	680
831	3351	676
832	3355	672
833	3358	668
834	3362	664
835	3367	660
836	3372	656
837	3376	652
838	3380	648
839	3383	644
840	3387	640
841	3390	636
842	3395	632
843	3399	628
844	3403	624
845	3407	620
846	3411	616
847	3415	612
848	3418	608
849	3422	603
850	3426	599
851	3430	595
852	3434	591
853	3438	587
854	3442	583
855	3446	579
856	3449	575
857	3454	571
858	3459	567
859	3463	563
860	3467	559
861	3471	555
862	3475	551
863	3478	547
864	3482	543
865	3486	539
866	3489	535
867	3493	531
868	3497	527
869	3500	523
870	3504	519
871	3508	514
872	3512	510
873	3516	506
874	3520	502
875	3524	498
876	3527	494
877	3531	490
878	3535	486
879	3539	482
880	3543	478
881	3548	474
882	3552	470
883	3556	466
884	3560	462
885	3564	458
886	3568	454
887	3573	450
888	3577	446
889	3581	442
890	3585	438
891	3589	434
892	3593	430
893	3599	426
894	3603	422
895	3606	418
896	3610	414
897	3614	410
898	3618	406
899	3622	402
900	3626	398
901	3629	394
902	3633	390
903	3637	386
904	3641	382
905	3645	378
906	3649	374
907	3654	370
908	3658	366
909	3662	362
910	3666	358
911	3670	354
912	3673	350
913	3677	345
914	3680	341
915	3684	337
916	3688	333
917	3692	329
918	3696	325
919	3699	321
920	3703	317
921	3707	313
922	3711	309
923	3715	305
924	3719	301
925	3723	297
926	3727	293
927	3731	289
928	3734	285
929	3738	281
930	3742	277
931	3746	273
932	3749	269
933	3753	265
934	3756	261
935	3760	257
936	3764	253
937	3768	249
938	3772	245
939	3776	241
940	3780	237
941	3784	232
942	3788	228
943	3791	224
944	3795	220
945	3799	216
946	3804	212
947	3808	208
948	3812	204
949	3816	200
950	3819	196
951	3823	192
952	3827	188
953	3832	184
954	3837	180
955	3841	176
956	3845	172
957	3849	168
958	3853	164
959	3857	160
960	3861	156
961	3865	152
962	3869	148
963	3872	144
964	3876	140
965	3880	136
966	3884	132
967	3888	128
968	3891	124
969	3895	120
970	3899	116
971	3903	112
972	3906	108
973	3909	104
974	3913	100
975	3918	96
976	3922	92
977	3926	88
978	3929	84
979	3933	80
980	3937	76
981	3941	72
982	3944	68
983	3948	64
984	3953	60
985	3956	56
986	3960	52
987	3964	48
988	3968	44
989	3972	40
990	3976	36
991	3980	32
992	3983	28
993	3987	24
994	3990	20
995	3994	16
996	3998	12
997	4002	8
998	4007	4
999	4011	0
